,missing_count,missing_percent,infinite_count,mean,median,std
totalCP,23,5.48,0,27.012594458438286,27.0,10.470610266975779
paeR_mean,23,5.48,0,8.287841099415365,7.9255639098,5.023556635684892
paeL_mean,23,5.48,0,11.031761543321162,12.970833333,6.023918458375184
favorability_mean,23,5.48,0,0.173251368770277,0.1704545455,0.0585002148438088
ligContacts_N-term,23,5.48,0,14.481108312342569,6.0,22.476761754544697
ligContacts_TM1,23,5.48,0,1.929471032745592,0.0,3.264449305004079
ligContacts_ICL1,23,5.48,0,0.0,0.0,0.0
ligContacts_TM2,23,5.48,0,5.909319899244332,5.0,3.8483682480576893
ligContacts_ECL1,23,5.48,0,0.6599496221662469,0.0,1.018878863687832
ligContacts_TM3,23,5.48,0,5.667506297229219,5.0,4.87523913716352
ligContacts_ICL2,23,5.48,0,0.0,0.0,0.0
ligContacts_TM4,23,5.48,0,2.2947103274559195,2.0,2.104899822280744
ligContacts_ECL2,23,5.48,0,5.992443324937028,6.0,4.004724901955239
ligContacts_TM5,23,5.48,0,5.181360201511335,4.0,4.166649110717913
ligContacts_ICL3,23,5.48,0,0.0,0.0,0.0
ligContacts_TM6,23,5.48,0,8.375314861460957,8.0,4.713798272695005
ligContacts_ECL3,23,5.48,0,0.0,0.0,0.0
ligContacts_TM7,23,5.48,0,11.523929471032746,11.0,5.935474305170258
ligContacts_H8,23,5.48,0,0.0,0.0,0.0
ligContacts_C-term,23,5.48,0,0.015113350125944584,0.0,0.1581882900188946
1.28_25_CP,23,5.48,0,0.15365239294710328,0.0,0.36107025265044823
1.29_33,23,5.48,0,0.042821158690176324,0.0,0.2027091780465566
1.30_37,23,5.48,0,0.010075566750629723,0.0,0.09999618342461182
1.31_39,23,5.48,0,0.12846347607052896,0.0,0.3350273723190943
1.32_43,23,5.48,0,0.12846347607052896,0.0,0.33502737231909524
1.33_45,23,5.48,0,0.017632241813602016,0.0,0.13177665436111227
1.34_45,23,5.48,0,0.005037783375314861,0.0,0.07088766959157744
1.35_48_CP,23,5.48,0,0.1486146095717884,0.0,0.3561570205981826
1.36_48,23,5.48,0,0.027707808564231738,0.0,0.1643414629020058
1.37_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
1.38_48,23,5.48,0,0.0025188916876574307,0.0,0.050188561322849344
1.39_48_CP,23,5.48,0,0.24685138539042822,0.0,0.43172359584745723
1.40_48,23,5.48,0,0.005037783375314861,0.0,0.07088766959157743
1.41_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
1.42_48,23,5.48,0,0.005037783375314861,0.0,0.07088766959157758
1.43_48,23,5.48,0,0.0,0.0,0.0
1.44_48,23,5.48,0,0.0,0.0,0.0
1.45_48,23,5.48,0,0.0,0.0,0.0
1.46_48,23,5.48,0,0.0,0.0,0.0
1.47_48,23,5.48,0,0.0,0.0,0.0
1.48_48,23,5.48,0,0.0,0.0,0.0
1.49_48,23,5.48,0,0.0,0.0,0.0
1.50_48,23,5.48,0,0.0,0.0,0.0
1.51_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
1.52_48,23,5.48,0,0.0,0.0,0.0
1.53_48,23,5.48,0,0.0,0.0,0.0
1.54_48,23,5.48,0,0.0,0.0,0.0
1.55_48,23,5.48,0,0.0,0.0,0.0
1.56_48,23,5.48,0,0.0,0.0,0.0
1.57_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
1.58_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
1.59_47,23,5.48,0,0.0,0.0,0.0
1.60_47,23,5.48,0,0.0,0.0,0.0
2.37_42,23,5.48,0,0.0,0.0,0.0
2.38_45,23,5.48,0,0.0,0.0,0.0
2.39_47,23,5.48,0,0.0,0.0,0.0
2.40_48,23,5.48,0,0.0,0.0,0.0
2.41_48,23,5.48,0,0.0,0.0,0.0
2.42_48,23,5.48,0,0.0,0.0,0.0
2.43_48,23,5.48,0,0.0,0.0,0.0
2.44_48,23,5.48,0,0.0,0.0,0.0
2.45_48,23,5.48,0,0.0,0.0,0.0
2.46_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
2.47_47,23,5.48,0,0.0,0.0,0.0
2.48_48,23,5.48,0,0.0,0.0,0.0
2.49_48,23,5.48,0,0.0,0.0,0.0
2.50_48,23,5.48,0,0.005037783375314861,0.0,0.07088766959157741
2.51_48,23,5.48,0,0.0,0.0,0.0
2.52_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284947
2.53_48_CP,23,5.48,0,0.17632241813602015,0.0,0.38157512045692077
2.54_48,23,5.48,0,0.005037783375314861,0.0,0.0708876695915776
2.55_48,23,5.48,0,0.007556675062972292,0.0,0.08670934227291638
2.56_48_CP,23,5.48,0,0.07052896725440806,0.0,0.25635946253750175
2.57_48_CP,23,5.48,0,0.28463476070528965,0.0,0.4518096945637331
2.58_48,23,5.48,0,0.007556675062972292,0.0,0.08670934227291642
2.59_48_CP,23,5.48,0,0.04534005037783375,0.0,0.20831138728772175
